participant,question,explId,explIndex,text,acc,satis,satisfaction,accuracy,causation,functional,general,mechanism
EEqPdzIhjODEFjDLf,14,271,7,So that the bird laying the egg doesn't die.,3,5,3.8333333333333335,3.7,2.5,2.9,4.111111111111111,2.4545454545454546
gOROiiEGNuCzZOgvq,14,272,8,"When an egg is formed inside the chicken, it is soft. The chicken squeezing the egg out causes this soft egg to squash into an elongated shape. Once the egg has been laid its shell hardens and it remains in this shape.",5,5,6,4,5.5,3.3,5.222222222222222,4.454545454545454
CCMUGNLwBbqzkupRn,14,273,9,Eggs are shaped this way to maximize amount held in the egg and ease of transport through the canal when the eggs are laid.,5,6,5.416666666666667,5.1,4.3,5.3,6,4.2727272727272725
UxEfXYwWCoAXhMrTO,14,274,10,Because it's the shape that makes it easiest to exit the chicken without harming the chicken.,7,7,5.5,5.5,3.8,5.5,5.333333333333333,3.6363636363636362
KRHdnJKvqTAfWAdLD,14,275,11,"They are shaped the way they are supposed to be.  We call them eggs, so what....they are the shape they are because it is easier to lay them as that shape.",6,6,3.4166666666666665,3.9,2.6,4.2,3.6666666666666665,2.4545454545454546
HJkPAxVGANytZVXDl,14,276,12,Eggs are shaped the way they are so they are easier to pass through and out.,5,6,5.166666666666667,5.4,4.3,4.9,5.555555555555555,3.8181818181818183
LwOUlsyRBcCHJlSzM,14,277,13,It's easy for it to come out of the chicken that way,6,6,4.5,5.3,4.2,5.2,5,3.3636363636363638
ZlOxkLtONDJoLOGJW,14,278,14,Eggs are shaped the way that they are to prevent eggs from rolling away from the mother bird.,6,7,3.6666666666666665,3.6,2.7,3.9,2.7777777777777777,3.727272727272727
rFBsNjlJKRCdnApwJ,14,279,15,"Well, some eggs are more rounder than the eggs humans eat, so I think it depends on the species of the animal where the eggs come from.",6,6,3.4166666666666665,3.9,1.7,0.3,2.888888888888889,3.1818181818181817
FtMbYMMbLQsIzCIKq,14,280,16,Because of the way they come out when being laid.,1,4,4,4.4,3.2,3,5.222222222222222,3.1818181818181817
aDFgidbpCgorYxRMz,14,281,17,So it's easier for them to be laid. Perfect spheres would be more difficult.,6,6,4.583333333333333,5.8,4.2,4.3,4.777777777777778,4.090909090909091
TuddmdlXsMEVpEFgl,14,282,18,They are egg-shaped because that is the easiest shape that allows hens and other female birds to push them out of their bodies.,6,6,5.5,5.5,5.5,5.2,5.666666666666667,4.545454545454546
DRCDwrmhXCnIntNnp,14,283,19,To come out of the chicken.,7,7,3.5833333333333335,4.4,2.4,3.3,5.666666666666667,2.1818181818181817
EScZqwAOLWFlvcOoE,14,284,20,Eggs are shaped the way they are because it was the optimal shape that allowed them to squeeze out of the chicken while putting up with the pressure from being expelled without being crushed.,1,6,5.916666666666667,5.4,5.7,4.9,6.222222222222222,4.909090909090909
rYhZKQvFZLdYeqXIk,14,285,21,That is an efficient design that has been chosen through natural selection.,NA,NA,4.416666666666667,5.9,4.3,4.2,6,3.1818181818181817
syGfoqzYkQQcHMIwU,15,286,1,Not sure what dodo is but if I had to take a guess I say the culture.,1,3,1.25,2.272727272727273,0.3,0.5,1.9,1.7692307692307692
fPpWPqfwzIFBRrFYX,15,287,2,People killed it until it was dead.,7,7,2.125,3.727272727272727,3.1,2.6,3.6,4.461538461538462
BdYnFkuxtBypwRzyx,15,288,3,The dodo died because it failed to adapt to its changing surroundings.,7,7,4.375,4.909090909090909,4.6,4.8,5.1,5
vQMDNtHtrQxFPWLFl,15,289,4,Evolution.,5,4,3.375,3.8181818181818183,3.2,3.9,4.4,3.6153846153846154
HvCNSbvxCmOikMDby,15,290,5,It was one of many animals to die when the asteroid killed all the dinosaurs.,5,6,2.875,2.8181818181818183,3.5,2.6,3.4,4.076923076923077
DTBYSxACrwRPkUqnS,15,291,6,The dodo died out because it was flightless and defenseless. It could simply not protect itself from predators.,6,6,4.875,5.181818181818182,4.9,4.7,5,5.538461538461538
qADtzaAAxrainsvlY,15,292,7,Because they are dumb.,4,4,2.25,3.1818181818181817,3,1.6,3.1,2.8461538461538463
EEqPdzIhjODEFjDLf,15,293,8,It ran itself crazy.,1,2,1.75,2,2.1,1.2,3.2,3.4615384615384617
gOROiiEGNuCzZOgvq,15,294,9,"The dodo was unable to adapt to its environment. As the dodo's predators got faster through evolution, it did not. Its prey also evolved to where the dodo found it more difficult to catch. This meant the dodo often died before it was able to reproduce, and hence it became extinct.",5,6,5.625,4.7272727272727275,5.2,4,3.8,6.461538461538462
CCMUGNLwBbqzkupRn,15,295,10,The dodo died out because of introduction of predator not there before and of course humans killing them into extinction.,6,6,3.375,4.818181818181818,4.6,2.8,4,5.6923076923076925
UxEfXYwWCoAXhMrTO,15,296,11,Because humans did not step in to protect this bird.,4,3,3.375,4,2.3,2.6,3.3,2.8461538461538463
KRHdnJKvqTAfWAdLD,15,297,12,"As the earth was flooded and reshaped, the environment suitable for the dodo survival was changed and it failed in finding another suitable environment.",6,6,3.5,3.6363636363636362,3.7,3.4,3.5,4.615384615384615
HJkPAxVGANytZVXDl,15,298,13,The dodo was generally considered to have no self preservation instincts. Thus the term Dumb as a dodo bird was coined.,5,7,4.875,4.909090909090909,4.3,3,3.6,4.3076923076923075
LwOUlsyRBcCHJlSzM,15,299,14,Rats ate its eggs.,6,6,1.625,3,3.1,3.2,3.3,4.384615384615385
ZlOxkLtONDJoLOGJW,15,300,15,The dodo died because there wasn't enough prey to satisfy its specific biological niche.,4,3,3.625,3.909090909090909,4.5,3.8,4.6,4.384615384615385
rFBsNjlJKRCdnApwJ,15,301,16,"Well, as people become more literate with words, I think that term died out because people decided to use more elegant terms to describe and express themselves on a higher level than a ghetto level.",7,6,2,2.1818181818181817,0.4,0.6,2.2,2.3846153846153846
FtMbYMMbLQsIzCIKq,15,302,17,They were preyed upon by much larger and stronger animals.,1,3,4,4.636363636363637,4.9,3.8,4,5
aDFgidbpCgorYxRMz,15,303,18,Maybe disease or their food source became scarce.,5,5,3.5,3.8181818181818183,3.7,2.4,3.8,4.153846153846154
TuddmdlXsMEVpEFgl,15,304,19,They died out because predators were able to hunt and eat them easily.,6,6,4.125,5.545454545454546,5.2,4.3,4.4,5.461538461538462
DRCDwrmhXCnIntNnp,15,305,20,Hunting.,7,7,3.125,5.2727272727272725,4.5,3,3.8,3.769230769230769
EScZqwAOLWFlvcOoE,15,306,21,"The dodo was hunted to extinction by the natives of that land, who consumed them and their eggs for food. The people did not understand that there was a limited number and killed them all.",1,6,5.375,4.181818181818182,5.2,4.4,4.3,5.923076923076923
rYhZKQvFZLdYeqXIk,15,307,22,It was unable to adapt to a changing world.,NA,NA,4.5,5,4.9,3.9,4.7,5
RGbkTELmGGGBwEsKg,16,308,1,So they fit the pipes that go underground.,3,2,3.5555555555555554,4.111111111111111,3.3,4.4,3.7,5
BkkGlPtQvNShOVFIn,16,309,2,So people don't fall in them.,6,7,3.111111111111111,3.3333333333333335,0.5,4.5,2.7,3.3333333333333335
UeBTufzZhSPaZYNKq,16,310,3,So that workers can access the sewers underneath easily.,7,6,3.3333333333333335,4.444444444444445,3.2,4.4,4,4.166666666666667
BXLjHayEdsYjxXcWV,16,311,4,This is so they will fit on quicker than if they were square.,5,5,3.6666666666666665,5,2.1,3.6,3.8,4.5
waWqanzucaDhhljVG,16,312,5,Because the covers cannot fall down the manhole. If it was any other shape the covers would fall down the manhole diagonally.,7,6,4.888888888888889,4.222222222222222,2.8,3.4,4.9,5
kXCeZObnknmIupwcr,16,313,6,So that it's easier for people to get down into them.,5,7,3.6666666666666665,4.555555555555555,2.2,4.8,4.3,5
AceGKVPcmQPYHOxUv,16,314,7,Easy to open and move.,6,6,3.3333333333333335,5.555555555555555,2.2,4.8,4.2,5.666666666666667
tkqnKjtnsIZukZlQa,16,315,8,So they don't fall in when they are moved aside perpendicular to the hole.,6,6,4.555555555555555,5.555555555555555,2.5,4.9,4.7,3.6666666666666665
NKrAlGdNqOgzCvaLS,16,316,9,So they do not fall in the hole they cover.,6,5,4.333333333333333,4.888888888888889,2.6,5.4,5.1,4.833333333333333
lSdpEohfSPAlotMle,16,317,10,To maximize the size of the person that can go into them while minimizing the size of the manhole.,3,5,4.222222222222222,4.222222222222222,3,4.8,4.5,4.833333333333333
OqjDwiLAdlPnRrPup,16,318,11,Because a circle is stronger than a square and more durable.,1,2,3.2222222222222223,3.3333333333333335,3.5,3,3.9,4.666666666666667
QKqbPsezsymrkfixs,16,319,12,They are round because a man is suppose to fit in without sharp edges.,5,6,4.444444444444445,5.111111111111111,2.8,2.8,4.4,4.833333333333333
xdCUypqfLcTqeFSmP,16,320,13,Because they allow for a variety of body shapes and/or tools to pass through in order to gain access underground. There are no corners for items to get caught on.,2,5,5.333333333333333,4.777777777777778,3.3,4.4,5.2,5.333333333333333
uLvlDbcvGHYBAvsLB,16,321,14,Manhole covers are round because it is easier to get them off and on because there are no corners to get caught on.,5,5,5.111111111111111,4.777777777777778,2.7,4,5.4,4.833333333333333
wbwmZBOqIYetIJNtf,16,322,15,Because the hole in the ground they cover is round.,6,5,4,4.111111111111111,3.5,1.6,5.6,3.1666666666666665
KeuhTYcoeUsxhoVkR,16,323,16,"Manhole covers are very heavy, so to make transport easier they made them rollable.",5,5,4.222222222222222,4,2.1,4.3,4.5,4
BFtwtGXzhDeLuiPWs,16,324,17,"Because if they were not round they would require more materials to build, and thus would be more expensive. Also, by not having edges, it is more difficult for the cover to break when being taken off or being put back on.",3,5,4.333333333333333,4.666666666666667,3.2,3.5,4.5,4.5
OIbmSSbxGjgrvhVsQ,16,325,18,"Because they lead into a pipe, which is circular, so it makes sense to keep the cover the same shape as the piper it leads into",6,7,4.555555555555555,3.888888888888889,4,2.3,3.9,5.166666666666667
YXgatNIrojNGUpdWL,16,326,19,"So that they won't fall inside when they're pried open!  They are that shape so that they will catch when being lifted.  An angular shape could fall through. It's also so that you can roll them away once they've been removed, this way they can be moved away from the hole manually even despite their weight.",5,5,6.111111111111111,4.777777777777778,3.6,5.1,5.5,5.333333333333333
EdxCLldeaHEDugrqq,16,327,20,If they were any other shape they would fall through the hole.,7,7,3.7777777777777777,4.333333333333333,3.3,2.7,4.2,3.1666666666666665
RGbkTELmGGGBwEsKg,17,328,1,Because the cave is rounded.,2,3,2.2222222222222223,3.4545454545454546,2.2,3,2.923076923076923,2.5555555555555554
BkkGlPtQvNShOVFIn,17,329,2,The acoustics.,4,5,3.2222222222222223,4.636363636363637,2.7,2.2,4.615384615384615,2.888888888888889
UeBTufzZhSPaZYNKq,17,330,3,Caves are empty and large while rooms can be small and filled with things. Less objects and more space make sound travel.,5,3,5.444444444444445,5.454545454545454,3.4,3.8,4,4.777777777777778
BXLjHayEdsYjxXcWV,17,331,4,"This is because the area is so large, the voice bounces back to us.",5,5,3.4444444444444446,4.363636363636363,3.4,2.8,3.769230769230769,3.6666666666666665
waWqanzucaDhhljVG,17,332,5,"This is so because the furniture, curtains etc. absorb the sound. In a cave there are no such objects to absorb the sound hence it gets reflected resulting in echo.",7,5,5.333333333333333,5.181818181818182,4,2.9,3.769230769230769,5.666666666666667
kXCeZObnknmIupwcr,17,333,6,Because there are more objects around to absorb the sound.,7,7,4.333333333333333,5.545454545454546,3.5,2.6,4.3076923076923075,4.444444444444445
AceGKVPcmQPYHOxUv,17,334,7,Things deaden sound.,5,5,3.3333333333333335,4.7272727272727275,1.9,2.6,4.384615384615385,2.5555555555555554
tkqnKjtnsIZukZlQa,17,335,8,The curved walls of the cave bounce back the sound waves like a concave mirror does with an image.,6,6,4.333333333333333,4.090909090909091,4.2,2.7,3.5384615384615383,5.222222222222222
NKrAlGdNqOgzCvaLS,17,336,9,Because sound bounces off of the cave walls and there is space for it to bounce around.,6,4,4.111111111111111,4.636363636363637,3.7,3.2,4.923076923076923,4.888888888888889
lSdpEohfSPAlotMle,17,337,10,"Echoes are sound bouncing around a large space.  Caves tend to be large, rooms do not.",5,5,3.7777777777777777,4.2727272727272725,2.9,2.9,3.769230769230769,4.222222222222222
OqjDwiLAdlPnRrPup,17,338,11,"The sound waves bounce off the material of the caves, while a regular room absorbs the sound waves.",3,5,4.888888888888889,5.363636363636363,3.8,2.8,4.769230769230769,5.444444444444445
QKqbPsezsymrkfixs,17,339,12,The echo is from bouncing off large lands.,4,4,3.3333333333333335,3.909090909090909,2.7,2.1,2.6923076923076925,3.6666666666666665
xdCUypqfLcTqeFSmP,17,340,13,Because a cave is hollow and does not have items such as furniture and decor to fill it in order to absorb the reverberations.,5,6,5.333333333333333,5.818181818181818,4.7,3.6,4.230769230769231,5.444444444444445
uLvlDbcvGHYBAvsLB,17,341,14,It echoes in a cave because the acoustics are better because the sound bounces off the rock better.,4,4,4.333333333333333,3.909090909090909,2.9,2.7,4.538461538461538,4.888888888888889
wbwmZBOqIYetIJNtf,17,342,15,Because caves are empty and most rooms are not.,6,5,3.7777777777777777,4.181818181818182,3.9,2.1,4.153846153846154,3.5555555555555554
KeuhTYcoeUsxhoVkR,17,343,16,"If a sound wave can travel far enough away that we stop hearing the original before it bounces back, then an echo happens.",6,2,4.444444444444445,4.454545454545454,3.4,3.1,3.6923076923076925,4.222222222222222
BFtwtGXzhDeLuiPWs,17,344,17,Walls of caves are made of materials that allow sound to bounce off of them more than walls in a regular room. The items in a room also make sound waves bounce off in various directions so an echo is not returned to the speaker.,4,4,5.444444444444445,4.7272727272727275,4.3,3.2,5,5.777777777777778
OIbmSSbxGjgrvhVsQ,17,345,18,"There's not enough space in a regular room for the sound waves to bounce, plus caves are made of much harder surfaces than normal rooms.",7,6,4.222222222222222,4.545454545454546,3.5,2.3,3.923076923076923,5.111111111111111
YXgatNIrojNGUpdWL,17,346,19,"A regular room is too finite to carry an echo.  A space must be wide enough for an echo to be properly produced, normal rooms are too small and confined for it to work.",5,2,5.111111111111111,4.545454545454546,3.9,4,4.230769230769231,4.666666666666667
EdxCLldeaHEDugrqq,17,347,20,The sound waves are escaping or absorbed by the room.  In a cave they are reflected.,5,5,4.111111111111111,5.090909090909091,4.5,3.2,4.846153846153846,6.111111111111111
RGbkTELmGGGBwEsKg,18,348,1,They have adapted better.,3,3,3.272727272727273,4.6,4.666666666666667,2.6,4.857142857142857,3.3
BkkGlPtQvNShOVFIn,18,349,2,Natural way of life.,2,3,2.5454545454545454,4.1,3.111111111111111,2.4,4.428571428571429,1.7
UeBTufzZhSPaZYNKq,18,350,3,Because of their size and where they live.,5,1,3.1818181818181817,3.5,4.888888888888889,2.8,3.2857142857142856,3.7
BXLjHayEdsYjxXcWV,18,351,4,"This is because it helps the balance of nature, or it helps nature balance out the population.",5,5,3.5454545454545454,4.4,2.888888888888889,1.3,4.285714285714286,2.9
waWqanzucaDhhljVG,18,352,5,This is so because they have evolved over millions of years to live longer.,5,7,3.5454545454545454,4.3,4.333333333333333,1.2,3.142857142857143,2.8
kXCeZObnknmIupwcr,18,353,6,Because their heart beats slower and so lasts longer.,5,7,2.1818181818181817,3.3,4.555555555555555,2.6,2.142857142857143,5.2
AceGKVPcmQPYHOxUv,18,354,7,It depends on how they live.,5,7,1.6363636363636365,4.7,3.2222222222222223,1.1,5.142857142857143,1.9
tkqnKjtnsIZukZlQa,18,355,8,"Their cells degrade slower. Some don't degrade at all, like some clams.",6,7,3.5454545454545454,3.8,4.222222222222222,1.7,4.142857142857143,4.8
NKrAlGdNqOgzCvaLS,18,356,9,They have slower metabolisms usually.,5,5,2.272727272727273,3.7,3.3333333333333335,2.2,3.4285714285714284,5
lSdpEohfSPAlotMle,18,357,10,Some animals are taken care of.  A house cat will live longer than a wild cat because it will have access to food and healthcare and will be shielded from predators.,6,5,4.818181818181818,4.9,4.555555555555555,2.4,5.714285714285714,5.9
OqjDwiLAdlPnRrPup,18,358,11,"They're just made up of different things, that have different requirements.",1,1,1.8181818181818181,3.5,4.111111111111111,1.9,4,1.6
QKqbPsezsymrkfixs,18,359,12,I believe some animals live longer than others because of the way they age and how they ate all their life.,5,7,3.272727272727273,4.5,3.5555555555555554,1.4000000000000001,3.5714285714285716,3.4
xdCUypqfLcTqeFSmP,18,360,13,"A variety of variables such as health and environment play into this. If an animal is living in the wild and is weak, they will not live as long as one that is strong. Some animals are better suited to living in their environments when compared to others due to evolution. These adaptations can also affect the health of animals and reduce or increase complications that the animal will face which will then in turn affect their lifespan.",4,4,6,4.8,4.777777777777778,3.7,4.285714285714286,6.2
uLvlDbcvGHYBAvsLB,18,361,14,Some animals live longer because they have fewer predators.,6,5,4,4.7,5.444444444444445,1.4,5.571428571428571,4.9
wbwmZBOqIYetIJNtf,18,362,15,Because some species have a longer life-span.,5,3,2.1818181818181817,4.9,3.888888888888889,2.6,5.285714285714286,2.4
KeuhTYcoeUsxhoVkR,18,363,16,Longevity is often decided by availability of food and water and aggressiveness of predators.,5,3,4.7272727272727275,5.1,4.777777777777778,2.8,5.285714285714286,4.9
BFtwtGXzhDeLuiPWs,18,364,17,"An animal's sole existence is to reproduce. Some animals mature to their reproductive stage quicker than others, and thus, they die quicker than others. To ensure that the best genes are passed on, different animals have developed this different rate. Humans, for example, take a long time to develop to sexual maturity and live long lives because it ensures that only the strongest can survive.",5,4,6,5.2,4.222222222222222,3,3.5714285714285716,5.5
OIbmSSbxGjgrvhVsQ,18,365,18,"Since animals are really just designed to procreate into the next generation, their length of life probably has something to do with the number of offspring they can produce. Mice and rabbits live very short lives, but they produce lots of offspring, so they don't need to live very long to ensure that their genes live to the next generation. Elephants and Humans generally only have 1 child at a time, so  a much longer life is likely needed to ensure that at least 1 of their offspring survive.",5,7,5.363636363636363,4.9,3.888888888888889,2.8,5,5.8
YXgatNIrojNGUpdWL,18,366,19,The lifespan of animals depends upon their breeding cycles.  If they can have litters and can breed quickly then they die more quickly as well.  Strictly biologically speaking their purpose is to live and to breed and if they have a short breeding cycle then their life cycle mirrors this.,3,3,5.7272727272727275,5.5,5.555555555555555,3,4.857142857142857,5.9
EdxCLldeaHEDugrqq,18,367,20,The animals are probably healthier or have less natural predators so they live longer.  They might also be the top of their food chain.,1,4,4.363636363636363,5.3,5,2.3,5,4.9
RGbkTELmGGGBwEsKg,19,368,1,To blend in with background and not be detected by prey.,5,5,4.454545454545454,5.444444444444445,2.3,5.3,5,5.2
BkkGlPtQvNShOVFIn,19,369,2,Adaptable to their surroundings.,7,7,5.090909090909091,5.111111111111111,4.1,3.1,4.777777777777778,3.8
UeBTufzZhSPaZYNKq,19,370,3,To blend in with snow and hide from predators.,6,6,4.7272727272727275,5.222222222222222,2.7,5.4,4.888888888888889,5.2
BXLjHayEdsYjxXcWV,19,371,4,"Polar bears are white to protect them from predators, they blend in with the ice or snow.",5,6,4.909090909090909,5,2,5,4.555555555555555,5.2
waWqanzucaDhhljVG,19,372,5,This is so because their white fur allows them to hide in the snowy surroundings.,4,6,5,6,2.4,4.6,5.555555555555555,4.9
kXCeZObnknmIupwcr,19,373,6,"To blend in with their surroundings, snow.",7,7,5.2727272727272725,5.222222222222222,2.4,5.1,5.888888888888889,5.1
AceGKVPcmQPYHOxUv,19,374,7,To adapt to their environment.,6,6,4.545454545454546,5.777777777777778,3.4,4.1,5.333333333333333,4.1
tkqnKjtnsIZukZlQa,19,375,8,Their skin is dark but their fur is transparent. The result makes it look white.,6,6,4.090909090909091,4.222222222222222,2.9,0.9,4.555555555555555,2.7
NKrAlGdNqOgzCvaLS,19,376,9,They blend into the snow.,5,5,4.181818181818182,5.222222222222222,2,4.4,5.777777777777778,4.5
lSdpEohfSPAlotMle,19,377,10,To blend in with the snow and be better hunters.,6,5,5.2727272727272725,5.666666666666667,2.3,5.4,5.555555555555555,5.2
OqjDwiLAdlPnRrPup,19,378,11,"They evolved to have camouflage, which makes them better predators.",3,5,4.909090909090909,5.777777777777778,5,4.2,5.555555555555555,5
QKqbPsezsymrkfixs,19,379,12,Because of the snow being their habitat.,5,4,4.2727272727272725,5.222222222222222,3.5,2.3,4.888888888888889,3.8
xdCUypqfLcTqeFSmP,19,380,13,Because they can blend in with their environment to protect them from predators. Also their white fur helps to reflect the heat from the sunlight which will keep them cool.,6,7,5.454545454545454,4.555555555555555,1.5,5.4,4.888888888888889,6.1
uLvlDbcvGHYBAvsLB,19,381,14,Polar bears are white to blend in with the snow they live in so it is harder for them to be detected.,6,5,5.363636363636363,5.666666666666667,2.9,5.4,5.555555555555555,5.3
wbwmZBOqIYetIJNtf,19,382,15,So they can blend in with the snow when they hunt.,5,6,5,5.555555555555555,2.4,5,5.555555555555555,5.3
KeuhTYcoeUsxhoVkR,19,383,16,"Their fur has evolved to let it as much light as possible to their black skin, to try to keep them warm in the freezing conditions.",6,5,5,5.333333333333333,3.7,4.9,3.888888888888889,4.2
BFtwtGXzhDeLuiPWs,19,384,17,"It helps them blend in with the snow when hunting for prey. If they cover their face with their paw, their entire body can be white and it is impossible for prey to see them.",7,7,4.909090909090909,5.777777777777778,2.5,5.2,4.777777777777778,5.333333333333333
OIbmSSbxGjgrvhVsQ,19,385,18,As camouflage most likely. Since they hunt in primarily snowy areas it's a lot harder to see a white animal than a dark colored animal,5,5,5.090909090909091,5.555555555555555,2.6,4.1,5.444444444444445,6
YXgatNIrojNGUpdWL,19,386,19,Polar bears are white because their fur lacks pigment and their skin is light to mirror their environment.  They blend into snowy areas and can regulate their temperatures by having non-absorbent white fur.,5,5,5.636363636363637,5,4.2,4.7,5,6.3
EdxCLldeaHEDugrqq,19,387,20,So they are not noticed in the snow.,6,5,4.818181818181818,6.222222222222222,2.6,5,4.888888888888889,4.4
RGbkTELmGGGBwEsKg,20,388,1,Because people want their sovereignty.,3,6,4.090909090909091,4,3.4,3.5454545454545454,4.818181818181818,3.888888888888889
BkkGlPtQvNShOVFIn,20,389,2,Conquering the world.,4,4,2.909090909090909,2.7,0.2,1.272727272727273,2.7272727272727275,3
UeBTufzZhSPaZYNKq,20,390,3,Because people like to settle their own lands and have rules and regulations for them. This causes countries to form.,2,1,4.181818181818182,4.9,5.9,3.6363636363636362,4.454545454545454,4
BXLjHayEdsYjxXcWV,20,391,4,"This is because so many people wanted to be leaders of a land over the thousands of years, they staked out all these separate countries.",6,6,3.5454545454545454,4.9,4.1,3.727272727272727,3.4545454545454546,3.666666666666667
waWqanzucaDhhljVG,20,392,5,This is so because throughout the history people have fought among each other and drawn arbitrary lines to claim what they won or lost due those wars.,6,5,5,5.3,5,3.3636363636363638,4.090909090909091,5.222222222222222
kXCeZObnknmIupwcr,20,393,6,"Because land masses were divided up to accommodate different governments, leaders, religions, etc.",3,6,4.181818181818182,5.2,4.4,3.272727272727273,4.2727272727272725,5.666666666666667
AceGKVPcmQPYHOxUv,20,394,7,Every one is different. So they want different countries.,4,4,2.909090909090909,4.1,2.3,1.6363636363636362,3.7272727272727275,2
tkqnKjtnsIZukZlQa,20,395,8,People can't get along.,5,4,3.6363636363636362,3.6,2.4,0.3636363636363636,4.181818181818182,2.111111111111111
NKrAlGdNqOgzCvaLS,20,396,9,Because groups of people banded together and created territories.,5,5,4.454545454545454,5.3,5.2,3.090909090909091,4.181818181818182,3.3333333333333335
lSdpEohfSPAlotMle,20,397,10,"Nation-state sovereignty is often traced back to the treaty of Westphalia.  European powers divided up land and attempted to carve up the rest of the world as a basis of colonization.  Those borders don't always make sense today, but they reflect the greed and negotiations of white men hundreds of years ago.",5,5,3.3636363636363638,4.8,3.3,2,3.4545454545454546,6
OqjDwiLAdlPnRrPup,20,398,11,"Groups of people had to join together to survive thousands of years ago. There was very little traveling compared to today, so there were many little groups. Over time, they developed different social rules and cultural norms that further solidified a group's bond.",2,4,5.090909090909091,5.4,4.4,3.909090909090909,4.090909090909091,5.222222222222222
QKqbPsezsymrkfixs,20,399,12,A lot of chiefs and kings want to rule.,5,6,3,4.7,2,3.272727272727273,3.8181818181818183,3.2222222222222223
xdCUypqfLcTqeFSmP,20,400,13,"Over time exploration has led to findings of many new areas of the world that can then be populated and based on human nature and desired ways of life and politics, countries are formed by those people.",2,3,4.7272727272727275,5.2,4.7,2.909090909090909,4.818181818181818,5.111111111111111
uLvlDbcvGHYBAvsLB,20,401,14,There are so many countries in the world because of how emperors and rulers in the past conquered lands and then divided the land into countries.,2,2,3.8181818181818183,5.1,5.5,2.909090909090909,3.5454545454545454,5.666666666666667
wbwmZBOqIYetIJNtf,20,402,15,Because the world is a big place and everyone wants their own country.,1,3,3.3636363636363638,4.3,3,1.3636363636363638,3.090909090909091,2.2222222222222223
KeuhTYcoeUsxhoVkR,20,403,16,"The difficulty of travel makes it hard to keep humans unified, one powerful man in Rome isn't going to dissuade a powerful man in Alexandria from trying to control the people around him.",4,3,3.909090909090909,4.1,1.5,0.36363636363636365,3.272727272727273,5
BFtwtGXzhDeLuiPWs,20,404,17,Different cultures were established around the world in ancient times. This led to different cities and city states being established with cultural norms. Over the years these people with similar cultural beliefs were able to establish their own nations/countries.,6,7,5.363636363636363,5.4,5.7,3.8181818181818183,4.909090909090909,6.111111111111111
OIbmSSbxGjgrvhVsQ,20,405,18,"Because ever since the fall of colonialism, countries have been trying to be created as ways for different cultures to rule over themselves.",1,2,3.8181818181818183,5.2,4.6,3.272727272727273,4.181818181818182,4.333333333333333
YXgatNIrojNGUpdWL,20,406,19,There are so many countries because people are inclined to disagree.  Disagreement leads to conflict and conflict leads to a desire to split away from those that oppose you.  So different people made different homes which evolved into different countries.,6,3,4.636363636363637,4.6,5.6,2.5454545454545454,4.454545454545454,5.222222222222222
EdxCLldeaHEDugrqq,20,407,20,I think there are many countries because there are many different customs and languages.  People are grouped into these places and thus form different countries.,2,2,3.727272727272727,5.1,3.2,2.090909090909091,5.090909090909091,4.777777777777778
YxmQeLJFQTmqMDTqx,21,408,1,Because our skin is trying to tell us something is wrong in that part of the body.,5,4,4.444444444444445,5,4.9,3.4545454545454546,4.333333333333333,4.5
izbugTHSynwfhPASB,21,409,2,Because infection can irritate our skin.,5,4,4,5.2727272727272725,4.6,1.727272727272727,4,4.4
DrWeENpeSgrWtENkk,21,410,3,Because something has irritated our skin and itching is the reaction from it.,6,7,4.222222222222222,6,5.1,2.909090909090909,4.333333333333333,4.7
KcpDcyNANvspiYxSI,21,411,4,Because there is a contamination or irritant on the skin.,5,5,3.6666666666666665,5.636363636363637,5.2,1.8181818181818181,4.666666666666667,4.1
gVfWXrXbQKuwAkgHN,21,412,5,Because our skin moves.,2,3,2.3333333333333335,2,2.3,1.6363636363636365,3.6666666666666665,2
RRFzfOABZaKHRrshK,21,413,6,"Nerve endings in our skin are damaged, and itching helps to numb this feeling.",2,5,3.2222222222222223,4,3.6,4.545454545454546,2.888888888888889,5.5
DETSyqgHRSIBdENzo,21,414,7,Because our nerves inside the body get little blood clots that make us feel itchy.,3,5,3.5555555555555554,3.6363636363636362,4.4,2.4545454545454546,3.111111111111111,4.7
jcCrwosQuPgUsaoAI,21,415,8,Our bodies itch to let us know that there is an irritation.,5,5,4.666666666666667,5.636363636363637,4.9,4.454545454545454,5,5.4
xneWItWwDNEqdJnXA,21,416,9,Because there is an irritation.,6,6,3.5555555555555554,5.7272727272727275,5.3,2.1818181818181817,4.333333333333333,4
ofahXOKqubUEdeNDg,21,417,10,Because something has tickled our skin.,5,6,3.2222222222222223,4.636363636363637,4,1.7272727272727273,3.6666666666666665,3.1
oyIGNSjKCMrgfHrbN,21,418,11,We itch because of an irritation happening on our skin.,6,7,3.888888888888889,5.818181818181818,5.4,2.9090909090909087,4.555555555555555,4.7
uiIHZdsqHlvztDBlU,21,419,12,Your body releases histamines under certain circumstances because of a reaction with stuff in the air or whatever.,5,2,4,5,5.2,3.1818181818181817,4.333333333333333,5.1
QMOEoujhrWKSakyJy,21,420,13,"We itch because our skin gets irritated by something. It itches because certain types of cells flock to the area to heal whatever happened to our skin, and these cells cause itching.",6,5,5.222222222222222,5.2727272727272725,5.1,2.7272727272727275,4.666666666666667,6.6
